Budi, 272839, 19, 2.05, 4
Siti, 708830, 23, 2.77, 8
Andi, 891914, 18, 2.67, 3
Mira, 118471, 21, 2.04, 8
Rani, 479984, 21, 3.37, 3
Dika, 273582, 22, 3.61, 5
Lina, 447564, 20, 2.72, 6
Tono, 169230, 23, 2.18, 6
Sri, 555560, 20, 2.81, 5
Dewi, 867231, 20, 3.02, 3
Agus, 340049, 21, 2.11, 6
Rika, 757450, 21, 2.5, 4
Joko, 728600, 22, 3.83, 1
Dian, 885525, 22, 2.81, 6
Eka, 350912, 20, 3.83, 6
Aji, 623239, 21, 2.17, 3
Alya, 633795, 25, 2.35, 6
Rizki, 975688, 24, 3.56, 1
Nanda, 357991, 24, 2.15, 8
Yuda, 469292, 23, 2.48, 2
Ira, 391738, 21, 3.5, 1
Yuni, 664231, 20, 2.34, 6
Bayu, 985269, 21, 2.25, 5
Wulan, 759877, 23, 2.73, 7
Dian, 915755, 23, 3.98, 1
Fajar, 279877, 23, 3.56, 5
Hani, 626431, 20, 2.77, 3
Tari, 683112, 20, 3.15, 7
Wahyu, 364177, 18, 3.48, 4
Miko, 140119, 20, 2.39, 4
